导演,演员2,演员1,电影,演员3,内容,评级,体裁,,,,
Melvin Van Peebles,Mario Van Peebles,John Amos,Sweet Sweetback's Baadasssss Song?,Melvin Van Peebles,black panther|hells angels|on the run|racist|racist cop,R,Drama,,,,
William Friedkin,Chazz Palminteri,Michael Biehn,Jade?,Linda Fiorentino,blackmail|investigation|murder|panties pulled down|prostitution,R,Drama,,,,
Jamaa Fanaka,Chuck Mitchell,Leon Isaac Kennedy,Penitentiary?,Wilbur 'Hi-Fi' White,blaxploitation|boxing|convict|drifter|false accusation,R,Drama,,,,
Quentin Tarantino,Jennifer Jason Leigh,Craig Stark,The Hateful Eight?,Zo? Bell,blizzard|blood vomiting|bounty hunter|murder|shot in the crotch,R,Drama,,,,
Jeremy Saulnier,Eve Plumb,Devin Ratray,Blue Ruin?,Amy Hargreaves,blood splatter|car|neo noir|vengeance|vomiting,R,Drama,,,,
Joe Carnahan,Chi McBride,Jason Patric,Narc?,Alan Van Sprang,blood splatter|cover up|murder|police shootout|undercover,R,Drama,,,,
Jacob Aaron Estes,Scott Mechlowicz,Rory Culkin,Mean Creek?,Trevor Morgan,boat|bully|dare|friend|river,R,Drama,,,,
Courtney Hunt,Michael O'Keefe,Charlie McDermott,Frozen River?,Misty Upham,border|mohawk|money|new york|river,R,Drama,,,,
Martin Scorsese,Matt Damon,Leonardo DiCaprio,The Departed?,Ray Winstone,boston|mole|police|undercover|undercover cop,R,Drama,,,,
David O. Russell,Jack McGee,Christian Bale,The Fighter?,Melissa McMeekin,boxer|boxing|boxing match|crack cocaine|lowell massachusetts,R,Drama,,,,
Martin Scorsese,Cathy Moriarty,Robert De Niro,Raging Bull?,Frank Vincent,boxing|domestic violence|hot temper|jealousy|rage,R,Drama,,,,
Barry Levinson,Brad Pitt,Robert De Niro,Sleepers?,Minnie Driver,boy|guard|kicked in the crotch|prank|sexual abuse,R,Drama,,,,
Michael Haneke,Siobhan Fallon Hogan,Naomi Watts,Funny Games?,Brady Corbet,breaking the fourth wall|looking at the camera|remake|serial killer|violence,R,Drama,,,,
John Dahl,Martin Landau,Matt Damon,Rounders?,Gretchen Mol,breasts|cult film|loan shark|poker|reference to christy turlington,R,Drama,,,,
Atom Egoyan,Alison Lohman,Colin Firth,Where the Truth Lies?,Rachel Blanchard,breasts|death|female rear nudity|lesbian cunnilingus|rear entry sex,R,Drama,,,,
Caroline Link,Juliane K?hler,Merab Ninidze,Nowhere in Africa?,Matthias Habich,breasts|farm|jew|kenya|tween girl,R,Drama,,,,
Matt Cimber,June Lockhart,Stacy Keach,Butterfly?,Stuart Whitman,breasts|female frontal nudity|female rear nudity|incest|voyeur,R,Drama,,,,
Gregor Jordan,Brad Renfro,Austin Nichols,The Informers?,Lou Taylor Pucci,breasts|female nudity|male pubic hair|pubic hair|sex scene,R,Drama,,,,
Stephen Hopkins,Bernard Hill,Tom Wilkinson,The Ghost and the Darkness?,Om Puri,bridge|engineer|hunter|lion|railway,R,Drama,,,,
Rowan Joffe,Sean Harris,Sam Riley,Brighton Rock?,Geoff Bell,brighton|catholic|gang|prayer|waitress,R,Drama,,,,
Gavin O'Connor,Rick Gonzalez,Jennifer Ehle,Pride and Glory?,Frank Grillo,brother in law|corruption|drug dealer|drugs|police,R,Drama,,,,
Francis Ford Coppola,Bob Hoskins,Nicolas Cage,The Cotton Club?,Fred Gwynne,brothers hugging|jazz|jealousy|nudity|parole violation,R,Drama,,,,
David Fincher,Dwight Yoakam,Kristen Stewart,Panic Room?,Mel Rodriguez,brownstone|burglar|money|panic|panic room,R,Drama,,,,
Nicolas Winding Refn,Kristin Scott Thomas,Ryan Gosling,Only God Forgives?,Yayaying Rhatha Phongam,brutal cop|drug dealer|punishment|thai boxing|vengeance,R,Drama,,,,
Oliver Hirschbiegel,Bruno Ganz,Thomas Kretschmann,Downfall?,Alexandra Maria Lara,bunker|hitler|nazi|no exit|war ruins,R,Drama,,,,
Martin Scorsese,Liam Neeson,Leonardo DiCaprio,Gangs of New York?,Jim Broadbent,butcher|civil war|gangster|new york city|revenge,R,Drama,,,,
Chan-wook Park,Yeong-ae Lee,Min-sik Choi,Lady Vengeance?,Hye-jeong Kang,cake|christian|lesbian sex|oral sex|pregnant schoolgirl,R,Drama,,,,
Matthew Vaughn,Sally Hawkins,Tom Hardy,Layer Cake?,Jamie Foreman,cake|cocaine|drugs|pills|serbian,R,Drama,,,,
Gus Van Sant,Denis O'Hare,James Franco,Milk?,Lucas Grabeel,california|gay|gay activist|gay pickup|gay rights,R,Drama,,,,
Ray Lawrence,Deborra-Lee Furness,John Howard,Jindabyne?,Max Cullen,camp|fishing|fishing trip|river|town,R,Drama,,,,
Carl Franklin,Sanaa Lathan,Denzel Washington,Out of Time?,John Billingsley,cancer|florida|insurance|life insurance policy|small town,R,Drama,,,,
J.C. Chandor,Demi Moore,Kevin Spacey,Margin Call?,Ashley Williams,capital management|financial crisis|financial disaster|investment fraud|management,R,Drama,,,,
Nickolas Perry,Patsy Kensit,Patrick Renna,Speedway Junky?,Adrienne Frantz,car racing|crush|hustler|scam|watching television,R,Drama,,,,
Ben Younger,Nia Long,Vin Diesel,Boiler Room?,Herbert Russell,career|casino|judge|stock|stock broker,R,Drama,,,,
David Cronenberg,Viggo Mortensen,Michael Fassbender,A Dangerous Method?,Sarah Gadon,carl jung|patient|psychoanalysis|russian|sigmund freud,R,Drama,,,,
Michael Apted,Paul Guilfoyle,J.K. Simmons,Extreme Measures?,Bill Nunn,cartoon on tv|doctor|emergency room|hospital|nudity,R,Drama,,,,
John Singleton,Snoop Dogg,Mo'Nique,Baby Boy?,Angell Conwell,cartoon on tv|family relationships|physical abuse|single parent|two word title,R,Drama,,,,
David Fincher,Jake Gyllenhaal,Robert Downey Jr.,Zodiac?,Anthony Edwards,cartoonist|reporter|serial killer|zodiac|zodiac killer,R,Drama,,,,
Jonathan Demme,Scott Glenn,Anthony Hopkins,The Silence of the Lambs?,Anthony Heald,case file|fbi agent|psycho thriller|psychopath|serial killer,R,Drama,,,,
Gregory Hoblit,Jesse Tyler Ferguson,Billy Burke,Untraceable?,Joseph Cross,cat|fbi agent|murder|serial killer|website,R,Drama,,,,
Antoine Fuqua,Lili Taylor,Don Cheadle,Brooklyn's Finest?,Armando Riesco,catholic|corrupt cop|new york city|police detective|police officer killed,R,Drama,,,,
Michael Chapman,Pamela Reed,Curtis Armstrong,The Clan of the Cave Bear?,Mike Muscat,cave bear|cro magnon|neanderthal|survival|tradition,R,Drama,,,,
Alister Grierson,Rhys Wakefield,Ioan Gruffudd,Sanctum?,Richard Roxburgh,cave|expedition|panic|rebreather|underwater,R,Drama,,,,
Michael Mann,Rip Torn,Al Pacino,The Insider?,Debi Mazar,cbs|cbs news|research|tobacco|whistleblower,R,Drama,,,,
Steven Shainberg,Ty Burrell,Robert Downey Jr.,Fur: An Imaginary Portrait of Diane Arbus?,Matt Servitto,character name in title|diane arbus|male full frontal nudity|photographer|pubic hair,R,Drama,,,,
Darrell Roodt,Wendy Crewson,Jennifer Hudson,Winnie Mandela?,Aubrey Poo,character name in title|nelson mandela|one word title|reference to winnie mandela|south africa,R,Drama,,,,
Roger Donaldson,Saffron Burrows,Jason Statham,The Bank Job?,Daniel Mays,chase|heist|london england|mobster|safe deposit,R,Drama,,,,
David Slade,G.J. Echternkamp,Odessa Rae,Hard Candy?,Patrick Wilson,chatting|missing person poster|online dating|photographer|sexual predator,R,Drama,,,,
Denis Villeneuve,Jake Gyllenhaal,Hugh Jackman,Prisoners?,Dylan Minnette,child abduction|detective|investigation|police|sex offender,R,Drama,,,,
Daniel Espinosa,Fares Fares,Tom Hardy,Child 44?,Michael Nardone,child murderer|murder|sex|soviet union|woman slaps a man,R,Drama,,,,
Alejandro Amenábar,Ashraf Barhom,Max Minghella,Agora?,Rupert Evans,christian|love|philosophy|prefect|slave,R,Drama,,,,
Kasi Lemmons,Tamara Tunie,Colm Feore,The Caveman's Valentine?,Aunjanue Ellis,chrysler building manhattan new york city|delusion|manhattan new york city|new york city|title directed by female,R,Drama,,,,
Michael Mann,Jada Pinkett Smith,Tom Cruise,Collateral?,Debi Mazar,city by night|contract killer|driving at night|los angeles california|taxi,R,Drama,,,,
Anthony Minghella,Natalie Portman,Philip Seymour Hoffman,Cold Mountain?,Charlie Hunnam,civil war|mountain|soldier|well|wounded soldier,R,Drama,,,,
Steven Soderbergh,David Costabile,Channing Tatum,Side Effects?,Katie Lowes,clinical trial|female protagonist|neuropharmacology|psychiatrist|side effect,R,Drama,,,,
Steven Soderbergh,Jacob Vargas,Michael O'Neill,Traffic?,James Lew,cocaine|drug smuggling|interlinked stories|judge|mexico,R,Drama,,,,
Ethan Coen,Stephen Root,Kelly Macdonald,No Country for Old Men?,Barry Corbin,coin toss|desert|sheriff|texas|tracking device,R,Drama,,,,
Joshua Marston,Wilson Guerrero,Catalina Sandino Moreno,Maria Full of Grace?,Yenny Paola Vega,colombia|colombian|drug mule|money|stomach,R,Drama,,,,
Andrea Di Stefano,Brady Corbet,Josh Hutcherson,Escobar: Paradise Lost?,Carlos Bardem,colombia|dream|love|surfer|village,R,Drama,,,,
Randal Kleiser,Christopher Atkins,Brooke Shields,The Blue Lagoon?,Leo McKern,coming of age|island|poison|teenage boy|teenage girl,R,Drama,,,,
Fernando Meirelles,Seu Jorge,Alice Braga,City of God?,Alexandre Rodrigues,coming of age|male frontal nudity|male nudity|photographer|slum,R,Drama,,,,
David Fincher,Goran Visnjic,Robin Wright,The Girl with the Dragon Tattoo?,Joely Richardson,computer hacker|hacker|investigation|journalist|punk,R,Drama,,,,
Bill Condon,Peter Capaldi,Benedict Cumberbatch,The Fifth Estate?,Jamie Blackley,computer hacker|internet|news leak|whistleblowing|wikileaks,R,Drama,,,,
Fabián Bielinsky,Gastón Pauls,Ricardo Darín,Nine Queens?,Leticia Brédice,con artist|hotel|partner|scam|stamp,R,Drama,,,,
Steven Soderbergh,Albert Finney,Julia Roberts,Erin Brockovich?,Conchata Ferrell,contamination|corporate crime|environmental issue|female protagonist|working single mother,R,Drama,,,,
Paul McGuigan,Morgan Freeman,Bruce Willis,Lucky Number Slevin?,Dorian Missick,coroner|death|gay son|love|mistaken identity,R,Drama,,,,
Brian De Palma,Billy Drago,Robert De Niro,The Untouchables?,Charles Martin Smith,corrupt judge|tax evasion|tough cop|white suit|year 1930,R,Drama,,,,
Ron Shelton,Dash Mihok,Khandi Alexander,Dark Blue?,Michael Michele,corrupt|criminal|investigation|lapd|police,R,Drama,,,,
James Mangold,Sylvester Stallone,Robert De Niro,Cop Land?,Janeane Garofalo,corruption|faked death|falling off a roof|internal affairs|nypd,R,Drama,,,,
David Schwimmer,Jordan Trovillion,Noah Emmerich,Trust?,Zoe Levin,counselor|fbi|revenge motive|school|teenage girl,R,Drama,,,,
Michael Hoffman,Kerry Condon,David Masterson,The Last Station?,Anne-Marie Duff,countess|leo tolstoy|russian|wealth|writing,R,Drama,,,,
Mira Nair,Sarita Choudhury,Indira Varma,Kama Sutra: A Tale of Love?,Rekha,courtesan|friend|kama sutra|seduction|wedding,R,Drama,,,,
David Dobkin,Robert Duvall,Robert Downey Jr.,The Judge?,Leighton Meester,courtroom|dysfunctional family|indiana|lawyer|trial,R,Drama,,,,
Oliver Stone,Bob Hoskins,Anthony Hopkins,Nixon?,Joan Allen,courtship|election|paranoia|president|quaker,R,Drama,,,,
Francis Ford Coppola,Marlon Brando,Al Pacino,The Godfather?,Robert Duvall,crime family|mafia|organized crime|patriarch|rise to power,R,Drama,,,,
Brett Ratner,Anthony Hopkins,Philip Seymour Hoffman,Red Dragon?,Emily Watson,criminal profile|fbi agent|madman|tabloid reporter|tragic villain,R,Drama,,,,
Bryan Singer,Chazz Palminteri,Kevin Spacey,The Usual Suspects?,Kevin Pollak,criminal|dirty cop|flashback|limping|suspect,R,Drama,,,,
Ridley Scott,Brad Pitt,Michael Fassbender,The Counselor?,Goran Visnjic,cunnilingus|drug trafficking|lawyer|no panties|shootout,R,Drama,,,,
Michael Rymer,Omar Epps,LL Cool J,In Too Deep?,Nia Long,cunnilingus|oral sex|police|sex scene|undercover,R,Drama,,,,
Tom Hooper,Mark Bazeley,Stephen Graham,The Damned United?,Maurice Ro?ves,cup|derby county|flashback|football|leeds united,R,Drama,,,,
Tony Kaye,Beverly D'Angelo,Ethan Suplee,American History X?,Stacy Keach,curb stomping|neo nazi|prison|son dislikes mother's boyfriend|white supremacist,R,Drama,,,,
Steven Soderbergh,Lesley Ann Warren,Peter Fonda,The Limey?,William Lucking,daughter|englishman|ex con|revenge|young woman,R,Drama,,,,
Mike Barker,Nicholas Lea,Gerard Butler,Shattered?,Callum Rennie,daughter|gun|nanny|sociopath|suburb,R,Drama,,,,
Karen Moncrieff,Bruce Davison,James Franco,The Dead Girl?,Piper Laurie,dead girl|girl|granddaughter|morgue|storage unit,R,Drama,,,,
Tim Robbins,Celia Weston,Lois Smith,Dead Man Walking?,Robert Prosky,death|execution|nun|solitary confinement|visit,R,Drama,,,,
Michael Burke,Tom Guiry,Zachary Knighton,The Mudge Boy?,Ryan Donowho,death|farm|fur coat|grief|misfit,R,Drama,,,,
Mark Pellington,Spencer Treat Clark,Jeff Bridges,Arlington Road?,Hope Davis,death|fbi|fbi agent|neighbor|professor,R,Drama,,,,
Jon Avnet,Alicia Witt,Al Pacino,88 Minutes?,Deborah Kara Unger,death|fbi|forensics|murder|serial killer,R,Drama,,,,
Gary Fleder,Bill Cobbs,Steve Buscemi,Things to Do in Denver When You're Dead?,Treat Williams,death|finger gun|video message|what happened to epilogue|wheelchair,R,Drama,,,,
Tim Hunter,Daniel Roebuck,Keanu Reeves,River's Edge?,Ione Skye,death|friend|high school|murder|police,R,Drama,,,,
Jodie Foster,Jack O'Connell,Julia Roberts,Money Monster?,Chris Bauer,death|hostage|money|shot in the chest|shot in the heart,R,Drama,,,,
Oliver Stone,Kevin Dillon,Michael Wincott,The Doors?,Kathleen Quinlan,death|paris france|rock band|singer|the doors,R,Drama,,,,
Brad Furman,Margarita Levieva,Matthew McConaughey,The Lincoln Lawyer?,Frances Fisher,defense attorney|defense lawyer|lawyer|plot twist|prostitute,R,Drama,,,,
Bill Paxton,Powers Boothe,Matthew McConaughey,Frailty?,Matt O'Leary,demon|fbi|fbi agent|murder|religious fanatic,R,Drama,,,,
Ed Harris,James Gammon,Viggo Mortensen,Appaloosa?,Tom Bower,deputy|friend|hanging|rancher|widow,R,Drama,,,,
Michael Winterbottom,Ned Beatty,Liam Aiken,The Killer Inside Me?,Jay R. Ferguson,deputy|murder|revenge|sheriff|texas,R,Drama,,,,
Robert Moresco,Brad Renfro,Brian Dennehy,10th & Wolf?,Dash Mihok,desert storm|fbi|fbi agent|fragmentation grenade|woman kills attacker,R,Drama,,,,
Oliver Stone,Tom Berenger,Tom Cruise,Born on the Fourth of July?,Stephen Baldwin,desert|drunkenness|religious mother|strict mother|vietnam war,R,Drama,,,,
Gus Van Sant,Casey Affleck,Matt Damon,Gerry?,,desert|friend|friendship|minimal dialogue|water,R,Drama,,,,
Richard Linklater,Keanu Reeves,Robert Downey Jr.,A Scanner Darkly?,Rory Cochrane,detective|drugs|substance d|undercover|undercover cop,R,Drama,,,,
Bob Giraldi,Manny Perez,Danny Aiello,Dinner Rush?,Ajay Naidu,detective|food|gangster|police|restaurant,R,Drama,,,,
Paul Haggis,Charlize Theron,James Franco,In the Valley of Elah?,Barry Corbin,detective|iraq|military|murder investigation|police,R,Drama,,,,
Gary Fleder,Tony Goldwyn,Morgan Freeman,Kiss the Girls?,Tatyana Ali,detective|kidnapping|punching a heavy bag|serial killer|tied to a tree,R,Drama,,,,
Harold Becker,Michael O'Neill,Al Pacino,Sea of Love?,Ellen Barkin,detective|love|single|suspect|title from song,R,Drama,,,,
David Fincher,Brad Pitt,Morgan Freeman,Se7en?,Reg E. Cathey,detective|police partner|serial killer|serial murder|seven deadly sins,R,Drama,,,,
Edward Zwick,Djimon Hounsou,Leonardo DiCaprio,Blood Diamond?,Stephen Collins,diamond|elephant|fisherman|rebel|sierra leone,R,Drama,,,,
Bob Rafelson,Mike Starr,Harold Perrineau,Blood and Wine?,Judy Davis,diamond|necklace|safecracker|wine|wine dealer,R,Drama,,,,
Spike Lee,Jennifer Esposito,Mira Sorvino,Summer of Sam?,Mike Starr,distrust|fear|murder|neighborhood|new york city,R,Drama,,,,
Todd Field,Sissy Spacek,Tom Wilkinson,In the Bedroom?,Karen Allen,doctor|maine|only son|school choir|summer,R,Drama,,,,
Rupert Wyatt,Cjon Saulsberry,George Kennedy,The Gambler?,Griffin Cleveland,dog|gambler|gambling|gangster|professor,R,Drama,,,,
Matty Rich,George T. Odom,Lawrence Gilliard Jr.,Straight Out of Brooklyn?,Matty Rich,domestic violence|housing project|new york city|poverty|racism,R,Drama,,,,
Scott Frank,Boyd Holbrook,Liam Neeson,A Walk Among the Tombstones?,David Harbour,drug dealer|ex cop|murder of wife|revenge|violence,R,Drama,,,,
John Singleton,Lloyd Avery II,John Cothran,Boyz n the Hood?,Na'Blonka Durden,drugs|escape|football|friend|violence,R,Drama,,,,
Jean-Marc Vallée,Jennifer Garner,Matthew McConaughey,Dallas Buyers Club?,Denis O'Hare,drugs|fda|gay community|hiv|homophobia,R,Drama,,,,
Werner Herzog,Shea Whigham,Nicolas Cage,Bad Lieutenant: Port of Call New Orleans?,Shawn Hatosy,drugs|flood|hallucination|lieutenant|murder investigation,R,Drama,,,,
Wolfgang Petersen,Martin Semmelrogge,Jürgen Prochnow,Das Boot?,Herbert Gr?nemeyer,duty|submarine|submarine movie|tension|u boat,R,Drama,,,,
Chuck Russell,Jimmy Smits,Rufus Sewell,Bless the Child?,Angela Bettis,easter|fbi|luminol|nurse|omen,R,Drama,,,,
Allen Hughes,James Ransone,Alona Tal,Broken City?,Michael Beach,election|father son relationship|fellatio|gay slur|title spoken by character,R,Drama,,,,
Renny Harlin,Lane Smith,Viggo Mortensen,Prison?,Hal Landon Jr.,electric chair|haunting|prison|prisoner|revenge,R,Drama,,,,
Dan Gilroy,Michael Papajohn,Jake Gyllenhaal,Nightcrawler?,James Huang,employer employee relationship|ethics|journalism|sociopath|tv news,R,Drama,,,,
Lars von Trier,Udo Kier,Catherine Deneuve,Dancer in the Dark?,Bj?rk,ends with quotation|execution|factory|women's prison|year 1964,R,Drama,,,,
John McNaughton,Robert Wagner,Bill Murray,Wild Things?,Jeff Perry,erotic thriller|forbidden sex|lesbian sex|sex with a student|taboo sex,R,Drama,,,,
Frank Darabont,Jeffrey DeMunn,Morgan Freeman,The Shawshank Redemption?,Bob Gunton,escape from prison|first person narration|prison|prison cell search|wrongful imprisonment,R,Drama,,,,
Clint Eastwood,Michael Kelly,Angelina Jolie Pitt,Changeling?,Colm Feore,execution by hanging|los angeles police department|miscarriage of justice|missing child|wrongful conviction,R,Drama,,,,
Andrew Jarecki,Kirsten Dunst,Ryan Gosling,All Good Things?,Frank Langella,family business|friend|murder|new york city|trial,R,Drama,,,,
E. Elias Merhige,Kevin Chamberlin,Harry Lennix,Suspect Zero?,William Mapother,fbi|fbi agent|murder|salesman|serial killer,R,Drama,,,,
Michael Winterbottom,Archie Panjabi,Angelina Jolie Pitt,A Mighty Heart?,Dan Futterman,fbi|journalist|missing|pakistan|reporter,R,Drama,,,,
William Friedkin,Scott A. Martin,Matthew McConaughey,Killer Joe?,Carol Sutton,female nudity|female pubic hair|lingerie|neo noir|pubic hair,R,Drama,,,,
Michael Winner,Marina Sirtis,Faye Dunaway,The Wicked Lady?,John Gielgud,female nudity|highwayman|nell gwynne|nudity|whipping,R,Drama,,,,
Wayne Kramer,Paul Sorvino,Estella Warren,The Cooler?,Shawn Hatosy,female pubic hair|girl in panties|leg spreading|public nudity|sex in bed,R,Drama,,,,
Jean-Jacques Annaud,Everett McGill,Rae Dawn Chong,Quest for Fire?,Gary Schwartz,fire|prehistoric times|primitive|tribe|trio,R,Drama,,,,
Quentin Tarantino,Brad Pitt,Michael Fassbender,Inglourious Basterds?,Christoph Waltz,france|german|nazis|revenge|scalping,R,Drama,,,,
Marco Kreuzpaintner,Kate del Castillo,Zack Ward,Trade?,Alicja Bachleda,friend|girl|mexico city|new jersey|sex,R,Drama,,,,
Bill Condon,Lynn Redgrave,Brendan Fraser,Gods and Monsters?,Kevin J. O'Connor,friendship|gardener|gay interest|homosexual|memory,R,Drama,,,,
Rob Reiner,Frances Lee McCain,Marshall Bell,Stand by Me?,Casey Siemaszko,friendship|summertime|treehouse|walking on train tracks|woods,R,Drama,,,,
Takeshi Kitano,Tatyana Ali,Omar Epps,Brother?,James Shigeta,gang|gangster|subjective camera|written and directed by cast member|yakuza,R,Drama,,,,
Quentin Tarantino,Steve Buscemi,Quentin Tarantino,Reservoir Dogs?,Chris Penn,gang|heist|heist gone wrong|nonlinear timeline|robbery,R,Drama,,,,
Morgan J. Freeman,Heather Matarazzo,Edie Falco,Hurricane Streets?,Lynn Cohen,gang|new mexico|prison|smuggling|theft,R,Drama,,,,
Lana Wachowski,Kevin Michael Richardson,Christopher Meloni,Bound?,Peter Spellos,gangster|lesbian|mafia|money|neo noir,R,Drama,,,,
